id,title,handle,status,product_type,group,collections,price_eur,max_price_eur,total_inventory,tracks_inventory,inventory_policy,variants,unbuyable_dead_end,has_dimensions,dimensions_value,has_what_fits,has_lead_time,has_materials_craft,has_siblings,has_seo_title,has_seo_description,has_description,description_chars,description_under_200,has_image,image_count,online_store_url
14867469599045,Mini Crochet Handbag - Pink,mini-crochet-handbag-1,ACTIVE,Handbag,Handbags,Featured products; Products; Bags,279.00,279.00,1,true,DENY,1,false,false,,false,false,false,true,true,true,true,408,false,true,4,https://www.oberndoerferco.com/en-de/products/mini-crochet-handbag-1
14867414974789,Mini Crochet Handbag - Purple,mini-crochet-handbag,ACTIVE,Handbag,Handbags,Featured products; Products; Bags,279.00,279.00,1,true,DENY,1,false,false,,false,false,false,true,true,true,true,410,false,true,4,https://www.oberndoerferco.com/en-de/products/mini-crochet-handbag
14893121274181,Ostrich Mini Trunk Handbag,minitrunk-handbag,ACTIVE,Handbag,Handbags,Featured products; Trunks; Products; Bags; New In,6298.00,6298.00,1,true,DENY,1,false,false,,false,false,true,false,true,true,true,550,false,true,5,https://www.oberndoerferco.com/en-de/products/minitrunk-handbag
9392604414277,The Mirror Handbag - Black,black-mirror-handbag-italian-leather,ACTIVE,Handbag,Handbags,Featured products; Products; Bags; Signature Pieces,1590.00,1590.00,1,true,DENY,1,false,true,L 18.5 cm × W 7 cm × H 11 cm (7.3 × 2.8 × 4.3 in),false,false,false,true,true,true,true,812,false,true,10,https://www.oberndoerferco.com/en-de/products/black-mirror-handbag-italian-leather
9392603857221,The Mirror Handbag - Blue,blue-mirror-handbag-italian-leather,ACTIVE,Handbag,Handbags,Featured products; Products; Bags,1675.00,1675.00,1,true,DENY,1,false,true,L 18.5 cm × W 7 cm × H 11 cm (7.3 × 2.8 × 4.3 in),false,false,false,true,true,true,true,806,false,true,9,https://www.oberndoerferco.com/en-de/products/blue-mirror-handbag-italian-leather
9392506306885,The Mirror Handbag - Lavender,milano-handbag-lavender,ACTIVE,Handbag,Handbags,Featured products; Products; Bags,1675.00,1675.00,0,true,CONTINUE,1,false,true,L 18.5 cm × W 7 cm × H 11 cm (7.3 × 2.8 × 4.3 in),false,false,false,true,true,true,true,809,false,true,10,https://www.oberndoerferco.com/en-de/products/milano-handbag-lavender
9392504701253,The Mirror Handbag - Nude,milano-handbag,ACTIVE,Handbag,Handbags,Featured products; Products; Bags,1675.00,1675.00,0,true,CONTINUE,1,false,true,L 18.5 cm × W 7 cm × H 11 cm (7.3 × 2.8 × 4.3 in),false,false,false,true,true,true,true,802,false,true,12,https://www.oberndoerferco.com/en-de/products/milano-handbag
9392602579269,The Mirror Handbag - Pink,milano-handbag-pink,ACTIVE,Handbag,Handbags,Featured products; Products; Bags,1675.00,1675.00,1,true,DENY,1,false,true,L 18.5 cm × W 7 cm × H 11 cm (7.3 × 2.8 × 4.3 in),false,false,false,true,true,true,true,807,false,true,9,https://www.oberndoerferco.com/en-de/products/milano-handbag-pink
9392601301317,The Mirror Handbag in Ostrich,milano-handbag-ostrich,ACTIVE,Handbag,Handbags,Featured products; Products; Bags,3825.00,3825.00,1,true,DENY,1,false,true,L 18.5 cm × W 7 cm × H 11 cm (7.3 × 2.8 × 4.3 in),false,false,true,true,true,true,true,773,false,true,8,https://www.oberndoerferco.com/en-de/products/milano-handbag-ostrich
14844647964997,Tote Leather Bag,tote-leather-bag-1,ACTIVE,Handbag,Handbags,Featured products; Products; Travel; Bags,1765.00,1765.00,1,true,DENY,1,false,false,,false,false,true,false,true,true,true,368,false,true,4,https://www.oberndoerferco.com/en-de/products/tote-leather-bag-1
